;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 10000.000 cm^-3
;    T = 10.000000 K
;    Chi = 0.00010000000
;    xh = 0.0000000
;    xC = 1.0000000e-06
;    mu(1E-7 cm) = 9.3000000 debye (this corresponds to beta = 0.38450768 debye)
;
;  Diklike grains are asssumed to spin around their axis of greatest inertia
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
       108.07284   2.8653022e-43
       109.31274   6.8958503e-44
       110.56688   1.6058598e-44
       111.83540   3.6183148e-45
       113.11847   7.8784020e-46
       114.41626   1.6565539e-46
       115.72895   3.3615022e-47
       117.05669   6.5739944e-48
       118.39967   1.2391410e-48
       119.75805   2.2467105e-49
       121.13202   3.9201907e-50
       122.52176   6.5692260e-51
       123.92743   1.0572120e-51
       125.34924   1.6317788e-52
       126.78736   2.4135810e-53
       128.24197   3.4189357e-54
       129.71328   4.6303591e-55
       131.20146   5.9965350e-56
       132.70672   7.4074922e-57
       134.22925   8.7321883e-58
       135.76924   9.7986539e-59
       137.32691   1.0464261e-59
       138.90244   1.0617155e-60
       140.49605   1.0222229e-61
       142.10795   9.3320087e-63
       143.73834   8.0558414e-64
       145.38743       0.0000000
       147.05544       0.0000000
       148.74259       0.0000000
       150.44910       0.0000000
       152.17518       0.0000000
       153.92107       0.0000000
       155.68699       0.0000000
       157.47316       0.0000000
       159.27983       0.0000000
       161.10723       0.0000000
       162.95560       0.0000000
       164.82517       0.0000000
       166.71619       0.0000000
       168.62890       0.0000000
       170.56356       0.0000000
       172.52041       0.0000000
       174.49972       0.0000000
       176.50173       0.0000000
       178.52672       0.0000000
       180.57493       0.0000000
       182.64665       0.0000000
       184.74213       0.0000000
       186.86165       0.0000000
       189.00550       0.0000000
       191.17393       0.0000000
       193.36725       0.0000000
       195.58573       0.0000000
       197.82966       0.0000000
       200.09934       0.0000000
       202.39505       0.0000000
       204.71710       0.0000000
       207.06580       0.0000000
       209.44144       0.0000000
       211.84434       0.0000000
       214.27480       0.0000000
       216.73315       0.0000000
       219.21970       0.0000000
       221.73478       0.0000000
       224.27872       0.0000000
       226.85184       0.0000000
       229.45449       0.0000000
       232.08699       0.0000000
       234.74970       0.0000000
       237.44295       0.0000000
       240.16711       0.0000000
